
HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
  22, 87    Peg,   448,     ,         ,00 09 02.4,+18 12 43, 5.53, 1.04,  G9III             ,
  23,          ,   469,     ,         ,00 09 02.4,-54 00 07, 6.33, 0.74,  G4IV              ,*
  24,   Kap1Scl,   493,  111,         ,00 09 21.0,-27 59 16, 5.42, 0.42,  F2V               ,*
  25,   Eps Phe,   496,     ,         ,00 09 24.7,-45 44 51, 3.88, 1.03,  K0III             ,
  26, 34    Psc,   560,  122,         ,00 10 02.3,+11 08 44, 5.51,-0.07,  B9Vn              ,*
  27, 22    And,   571,     ,         ,00 10 19.3,+46 04 20, 5.03, 0.40,  F2II              ,*
  28,          ,   584,     ,         ,00 10 29.7,+57 09 56, 6.74,-0.08,  B7IV              ,
  29,          ,   587,     ,         ,00 10 18.8,-05 14 55, 5.84, 0.98,  K1III             ,*
  30,   Gam3Oct,   636,     ,         ,00 10 02.1,-82 13 26, 5.28, 1.05,  G8III             ,
  31,          ,   645,     ,         ,00 10 42.8,-12 34 48, 5.85, 1.01,  K0IV              ,
  32,          ,   661,     ,         ,00 10 38.6,-73 13 28, 6.64, 0.37,  F2V+F6V           ,*
  33,  6    Cet,   693,     ,         ,00 11 15.9,-15 28 05, 4.89, 0.49,  F7V               ,
  34,   Kap2Scl,   720,     ,         ,00 11 34.4,-27 47 59, 5.41, 1.34,  K5III             ,
  35,   The Scl,   739,     ,         ,00 11 44.0,-35 07 59, 5.25, 0.44,  F4V               ,
  36,          ,   743,     ,         ,00 11 59.1,+48 09 09, 6.16, 1.45, gK4                ,
  37,          ,   787,     ,         ,00 12 10.0,-17 56 18, 5.25, 1.48,  K5III             ,
  38,          ,   829,     ,         ,00 12 50.4,+37 41 36, 6.73,-0.13,  B2V               ,*
  39, 88Gam Peg,   886,     ,Gam Peg  ,00 13 14.2,+15 11 01, 2.83,-0.23,  B2IV              ,*
  40,          ,   895,  161,         ,00 13 24.0,+26 59 14, 6.30, 0.65,  G0III             ,*
  41, 23    And,   905,     ,         ,00 13 30.8,+41 02 07, 5.72, 0.31,  F0IV              ,
  42,          ,   942,     ,   96    ,00 13 42.1,-26 01 19, 5.94, 1.55,  K5III             ,
  43,          ,   943,     ,         ,00 13 44.2,-26 17 05, 6.31, 1.48,  K5III             ,
  44,          ,   952,     ,         ,00 14 02.3,+33 12 22, 6.25,-0.01,  A1V               ,
  45, 89Chi Peg,  1013,     ,   99    ,00 14 36.2,+20 12 24, 4.80, 1.57,  M2+III            ,*
  46,          ,  1014,  180,AD Cet   ,00 14 27.6,-07 46 50, 5.12, 1.62,  M3+III            ,*
  47,          ,  1032,     ,         ,00 13 19.4,-84 59 39, 5.77, 1.72,  M0-1III           ,
  48,  7    Cet,  1038,     ,AE Cet   ,00 14 38.4,-18 55 58, 4.44, 1.66,  M3III             ,*
  49,          ,  1048,     ,         ,00 14 56.1,+22 17 03, 6.24,-0.01,  A1pSi             ,*
  50, 35    Psc,  1061,  191,UU Psc   ,00 14 58.8,+08 49 15, 5.79, 0.31,  F0IV              ,*
  51,          ,  1064,     ,         ,00 14 54.5,-09 34 11, 5.75,-0.08,  B9V               ,
  52,          ,  1075,     ,         ,00 15 07.0,+31 32 09, 6.45,     ,  K5                ,
  53,          ,  1083,     ,         ,00 15 10.6,+27 16 59, 6.35,-0.02,  A1Vn              ,*
  54,          ,  1089,     ,         ,00 14 58.2,-34 54 16, 6.17, 1.34,  K3III             ,
  55,          ,  1141,  207,         ,00 16 14.0,+76 57 03, 6.35,-0.07,  B8Vnn             ,*
  56,          ,  1185,  215,         ,00 16 21.6,+43 35 41, 6.15, 0.05,  A2VpSi            ,*
  57,          ,  1187,     ,         ,00 16 08.9,-31 26 47, 5.67, 1.35,  K5III             ,*
  58,          ,  1221,     ,         ,00 15 55.2,-75 54 41, 6.49, 1.00,  G8-K0III          ,
  59, 36    Psc,  1227,     ,         ,00 16 34.1,+08 14 24, 6.11, 0.92,  G8II-III          ,
  60,          ,  1239,  222,         ,00 16 57.1,+61 32 00, 5.74, 0.88,  G8III             ,*
  61,          ,  1256,     ,  113    ,00 16 42.5,-20 12 38, 6.47,-0.09,  B8III             ,*
  62,          ,  1279,     ,         ,00 17 09.1,+47 56 51, 5.89,-0.09,  B7III             ,
  63, 24The And,  1280,     ,  116    ,00 17 05.5,+38 40 54, 4.61, 0.06,  A2V               ,*
  64,          ,  1324,     ,         ,00 16 49.0,-78 46 50, 6.77, 0.46,  F3III             ,
  65,          ,  1337,     ,AO Cas   ,00 17 43.0,+51 25 59, 6.14,-0.13,  O9IIInn           ,*
  66,          ,  1343,     ,         ,00 17 32.6,-19 03 04, 6.45, 0.37,  F4IV-V            ,
  67,          ,  1367,     ,         ,00 17 47.7,+01 41 20, 6.17, 0.94,  K0II              ,
  68, 25Sig And,  1404,     ,  118    ,00 18 19.7,+36 47 07, 4.52, 0.05,  A2V               ,*
  69,          ,  1419,     ,         ,00 18 17.2,+11 12 21, 6.05, 1.03,  K0III             ,
  70, 26    And,  1438,  254,  119    ,00 18 42.1,+43 47 28, 6.11,-0.08,  B8V               ,*
  71,          ,  1439,     ,         ,00 18 38.3,+31 31 02, 5.87,-0.01,  A0IV              ,
  72,          ,  1461,     ,         ,00 18 41.8,-08 03 10, 6.46, 0.68,  G0V               ,*
  73,          ,  1483,     ,         ,00 18 42.6,-43 14 07, 6.33, 1.21,  K2III             ,
  74,  8Iot Cet,  1522,     ,  123    ,00 19 25.7,-08 49 26, 3.56, 1.22,  K1.5III           ,*
  75,          ,  1527,     ,         ,00 19 41.6,+40 43 47, 6.33, 1.18,  K1III             ,
  76,          ,  1561,     ,         ,00 20 05.2,+48 51 55, 6.52,     ,  A0V s             ,
  77,   Zet Tuc,  1581,     ,         ,00 20 04.3,-64 52 29, 4.23, 0.58,  F9V               ,
  78,          ,  1606,     ,  128    ,00 20 24.4,+30 56 09, 5.90,-0.10,  B7V               ,
  79,          ,  1632,     ,         ,00 20 45.5,+32 54 41, 5.79, 1.59,  K5III             ,
  80, 41    Psc,  1635,     ,  132    ,00 20 35.9,+08 11 25, 5.37, 1.34, gK3                ,
  81,          ,  1663,  287,         ,00 20 54.5,+10 58 37, 6.56,     ,  A0V               ,*
  82, 27Rho And,  1671,     ,         ,00 21 07.3,+37 58 07, 5.18, 0.42,  F5III             ,
  83,   Pi  Tuc,  1685,     ,         ,00 20 39.0,-69 37 30, 5.51,-0.05,  B9V               ,
  84,   Iot Scl,  1737,     ,         ,00 21 31.2,-28 58 54, 5.18, 1.00,  G5III             ,
  85,          ,  1760,     ,T Cet    ,00 21 46.3,-20 03 28, 5.12, 1.82,  M5IIe             ,*
  86, 42    Psc,  1796,  303,         ,00 22 25.5,+13 28 57, 6.23, 1.22,  K3III             ,*
  87,          ,  1801,     ,         ,00 21 28.6,-77 25 37, 5.97, 1.40,  K3III             ,
  88,  9    Cet,  1835,     ,BE Cet   ,00 22 51.8,-12 12 34, 6.39, 0.66,  G2V               ,*
  89,          ,  1909,     ,         ,00 23 12.6,-31 02 10, 6.55, 0.00,  B9IVMn            ,*
  90,          ,  1967,     ,R And    ,00 24 02.0,+38 34 38, 7.39, 1.97,  S6.5IIIeZr6Ti2    ,*
  91,          ,  1976,  328,  155    ,00 24 15.6,+52 01 12, 5.57,-0.12,  B5IV              ,*
  92, NOVA 1572,      ,     ,B Cas    ,          ,         ,     ,     ,                    ,*
  93, 12    Cas,  2011,     ,         ,00 24 47.5,+61 49 52, 5.40, 0.00,  B9III             ,
  94,          ,  2023,     ,         ,00 24 29.7,-02 13 09, 6.07, 1.22,  K1III             ,
  95, 47    Tuc,      ,     ,         ,          ,         ,     ,     ,                    ,*
  96,          ,  2054,     ,  159    ,00 25 06.4,+53 02 49, 5.74,-0.06,  B9IV              ,*
  97, 44    Psc,  2114,     ,         ,00 25 24.2,+01 56 23, 5.77, 0.86,  G5III             ,*
  98,   Bet Hyi,  2151,     ,  161    ,00 25 45.1,-77 15 15, 2.80, 0.62,  G2IV              ,*
  99,   Alp Phe,  2261,     ,         ,00 26 17.0,-42 18 22, 2.39, 1.09,  K0III             ,*
 100,   Kap Phe,  2262,     ,         ,00 26 12.2,-43 40 48, 3.94, 0.17,  A7V               ,
 101, 10    Cet,  2273,     ,Var?     ,00 26 37.4,-00 02 59, 6.19, 0.90,  G8III             ,*
 102,          ,  2363,     ,         ,00 27 14.7,-25 32 50, 5.98, 1.03,  G8III             ,
 103, 47    Psc,  2411,     ,TV Psc   ,00 28 02.9,+17 53 35, 5.06, 1.65,  M3III             ,*
 104,          ,  2421,     ,         ,00 28 13.7,+44 23 40, 5.17, 0.03,  A2V s             ,*
 105,   Eta Scl,  2429,     ,Eta Scl  ,00 27 55.7,-33 00 26, 4.81, 1.64,  M4III             ,*
 106, 48    Psc,  2436,     ,         ,00 28 12.7,+16 26 42, 6.06, 1.58,  K5III             ,
 107,          ,  2454,     ,         ,00 28 20.1,+10 11 23, 6.04, 0.43,  F6Va vw           ,*
 108,          ,  2475,     ,         ,00 28 21.1,-20 20 06, 6.43, 0.59,  G0V               ,*
 109,          ,  2490,     ,         ,00 28 26.4,-39 54 54, 5.43, 1.56,  M0III             ,*
 110,          ,  2507,     ,         ,00 28 56.6,+36 54 00, 6.26, 0.92,  G5III             ,
 111,          ,  2529,     ,         ,00 28 43.1,-50 31 58, 6.26, 1.09,  K0III             ,
 112,          ,  2589,     ,         ,00 30 55.0,+77 01 10, 6.21, 0.84,  K0IV              ,*
 113,          ,  2626,  412,         ,00 30 19.9,+59 58 38, 5.94, 0.01,  B9IIIn            ,*
 114, 28    And,  2628,  409,GN And   ,00 30 07.3,+29 45 06, 5.23, 0.24,  A7III             ,*
 115,          ,  2630,     ,         ,00 29 51.9,-14 51 51, 6.14, 0.37,  F2III             ,*
 116,          ,  2632,     ,         ,00 29 48.9,-32 07 00, 6.57, 1.34,  K4III             ,
 117, 12    Cet,  2637,  410,         ,00 30 02.4,-03 57 26, 5.72, 1.56,  M0III             ,*
 118,          ,  2696,     ,         ,00 30 22.7,-23 47 16, 5.19, 0.12,  A5Vn              ,*
 119,          ,  2724,     ,BB Phe   ,00 30 27.8,-40 56 22, 6.19, 0.33,  F2III             ,*
 120,          ,  2726,     ,         ,00 30 26.1,-48 12 54, 5.69, 0.35,  F2V               ,
 121, 13    Cas,  2729,     ,         ,00 31 25.3,+66 31 10, 6.18,-0.10,  B6V               ,*
 122,          ,  2767,     ,         ,00 31 25.6,+33 34 54, 5.87, 1.14,  K1III             ,
 123, 14Lam Cas,  2772,  434,         ,00 31 46.4,+54 31 20, 4.73,-0.10,  B8Vn              ,*
 124,          ,  2774,     ,         ,00 31 41.2,+52 50 22, 5.60, 1.15,  K2III             ,
 125,   Lam1Phe,  2834,     ,         ,00 31 25.0,-48 48 13, 4.77, 0.02,  A0V               ,*
 126,   Bet1Tuc,  2884,     ,         ,00 31 32.7,-62 57 29, 4.37,-0.07,  B9V               ,*
 127,   Bet2Tuc,  2885,     ,         ,00 31 33.6,-62 57 57, 4.54, 0.15,  A2V+A7V           ,*
 128,          ,  2888,     ,         ,00 32 26.8,+43 29 41, 6.70,-0.01,  A1Vn              ,*
 129,          ,  2904,     ,         ,00 33 19.3,+70 58 54, 6.42,-0.01,  A0Vn              ,
 130, 15Kap Cas,  2905,     ,Kap Cas  ,00 33 00.0,+62 55 54, 4.16, 0.14,  B1Ia              ,*
 131, 52    Psc,  2910,  452,         ,00 32 35.5,+20 17 40, 5.38, 1.08,  K0III             ,
 132, 51    Psc,  2913,  449,Var?     ,00 32 23.8,+06 57 20, 5.67, 0.00,  B9.5V             ,*
 133,          ,  2924,     ,         ,00 32 34.5,+27 34 50, 6.67,     ,  A2IV              ,
 134,          ,  2942,  455,         ,00 32 49.1,+28 16 49, 6.30, 1.00,  K0III             ,*
 135,          ,  2952,     ,         ,00 33 10.4,+54 53 42, 5.93, 1.04,  K0III             ,
 136,   Bet3Tuc,  3003,     ,         ,00 32 43.8,-63 01 52, 5.09, 0.04,  A0V               ,*
 137, 16    Cas,  3038,     ,         ,00 34 24.9,+66 45 01, 6.48,-0.08,  B9III             ,
 138,          ,  3059,     ,         ,00 33 41.1,-29 33 30, 5.55, 1.27,  K2III             ,*
 139,   The Tuc,  3112,     ,The Tuc  ,00 33 23.3,-71 15 58, 6.13, 0.23,  A7IV              ,*
 140,          ,  3158,     ,         ,00 34 27.8,-52 22 23, 5.57, 0.47,  F3IV-V            ,
 141,          ,  3166,     ,         ,00 34 55.3,+13 22 16, 6.40,     ,  K0                ,
 142, 13    Cet,  3196,  490,  212    ,00 35 14.9,-03 35 34, 5.20, 0.56,  F8V               ,*
 143, 14    Cet,  3229,     ,         ,00 35 32.8,-00 30 20, 5.93, 0.44,  F5IV              ,
 144,          ,  3240,     ,         ,00 36 08.3,+54 10 07, 5.08,-0.11,  B7III             ,
 145,          ,  3268,     ,         ,00 35 54.7,+13 12 24, 6.41, 0.52,  F7V               ,
 146,          ,  3283,     ,         ,00 36 27.3,+60 19 34, 5.79, 0.29,  A4III             ,*
 147,   Lam2Phe,  3302,     ,         ,00 35 41.1,-48 00 03, 5.51, 0.44,  F6V               ,
 148,          ,  3303,     ,  219    ,00 35 33.4,-54 49 19, 6.06, 1.01,  K0IV              ,
 149,          ,  3322,     ,  221    ,00 36 20.0,+27 15 17, 6.50,-0.09,  B8IIIpHgMn:       ,*
 150,          ,  3325,     ,         ,00 36 03.0,-14 58 25, 6.45, 1.06,  G9III             ,
 151,          ,  3326,     ,BG Cet   ,00 36 06.9,-22 50 33, 6.06, 0.29,  A6pSr             ,*
 152,          ,  3346,     ,         ,00 36 46.6,+44 29 19, 5.13, 1.60,  K5-M0III          ,
 153, 17Zet Cas,  3360,     ,  225    ,00 36 58.3,+53 53 49, 3.66,-0.20,  B2IV              ,*
 154, 29Pi  And,  3369,  513,  227    ,00 36 52.9,+33 43 10, 4.36,-0.14,  B5V               ,*
 155, 53    Psc,  3379,     ,AG Psc   ,00 36 47.3,+15 13 54, 5.89,-0.15,  B2.5IV            ,*
 156,          ,  3411,     ,         ,00 37 07.2,+24 00 51, 6.47,     ,  K2III             ,
 157,          ,  3421,     ,         ,00 37 21.1,+35 23 58, 5.48, 0.88,  G2.5IIa           ,
 158,          ,  3440,     ,  235    ,00 39 47.3,+82 29 38, 6.40, 0.55, dF6                ,
 159,          ,  3443,  520,         ,00 37 20.7,-24 46 02, 5.57, 0.72,  G8V               ,*
 160,          ,  3444,     ,         ,00 36 37.4,-65 07 29, 6.42, 1.26,  K2-3III           ,
 161,          ,  3457,     ,         ,00 37 30.5,+03 08 07, 6.39, 1.33,  K4III             ,*
 162,          ,  3488,     ,         ,00 37 18.1,-54 23 39, 6.41, 1.00,  K0II-IIICNIV      ,
 163, 30Eps And,  3546,     ,         ,00 38 33.3,+29 18 42, 4.37, 0.87,  G6IIIFe-3CH1      ,
 164,          ,  3574,  546,         ,00 39 09.9,+49 21 16, 5.43, 1.64,  K7III             ,*
 165, 31Del And,  3627,  548,         ,00 39 19.7,+30 51 39, 3.27, 1.28,  K3III             ,*
 166, 54    Psc,  3651,     ,  245    ,00 39 21.8,+21 15 02, 5.87, 0.85,  K0+V              ,*
 167, 55    Psc,  3690,  558,         ,00 39 55.6,+21 26 18, 5.36, 1.16,  K0III+F3V         ,*
 168, 18Alp Cas,  3712,  561,Alp Cas  ,00 40 30.5,+56 32 14, 2.23, 1.17,  K0IIIa            ,*
 169,          ,  3719,     ,         ,00 38 40.8,-73 08 14, 6.85, 0.11,  A1m               ,
 170,          ,  3735,     ,Z Scl    ,00 39 57.9,-33 57 42, 6.69, 0.51,  F8V               ,*
 171,          ,  3750,     ,         ,00 39 52.0,-44 47 48, 6.01, 1.14,  K1IIICNII         ,
 172,          ,  3794,     ,         ,00 40 28.6,-16 31 01, 6.49, 0.92,  G5                ,
 173,          ,  3795,     ,         ,00 40 32.9,-23 48 16, 6.14, 0.70,  G3V               ,
 174,          ,  3807,     ,         ,00 40 42.4,-04 21 07, 5.91, 1.10,  K0III             ,
 175, 32    And,  3817,     ,         ,00 41 07.2,+39 27 31, 5.33, 0.89,  G8III             ,*
 176,          ,  3823,     ,         ,00 40 26.4,-59 27 16, 5.89, 0.55,  G1V               ,
 177,          ,  3856,     ,         ,00 42 03.4,+66 08 51, 5.83, 1.04,  G9III-IV          ,
 178,          ,  3883,     ,  258    ,00 41 36.0,+24 37 45, 6.04, 0.26,  A7m               ,*
 179, 19Xi  Cas,  3901,     ,  260    ,00 42 03.9,+50 30 45, 4.80,-0.11,  B2V               ,*
 180,   Mu  Phe,  3919,     ,         ,00 41 19.6,-46 05 06, 4.59, 0.97,  G8III             ,*
 181,          ,  3924,     ,         ,00 42 31.1,+58 45 12, 6.17,-0.01,  B9.5III           ,
 182, M 31  And,      ,     ,S And    ,          ,         ,     ,     ,                    ,*
 183,   Xi  Phe,  3980,     ,Xi  Phe  ,00 41 46.4,-56 30 06, 5.70, 0.20,  ApSrEuCr          ,*
 184, 20Pi  Cas,  4058,     ,  268    ,00 43 28.1,+47 01 29, 4.94, 0.18,  A5V               ,*
 185,   Lam1Scl,  4065,     ,         ,00 42 42.9,-38 27 48, 6.06,-0.03,  A0V               ,*
 186,          ,  4088,     ,         ,00 42 41.8,-60 15 45, 5.98, 1.32,  K5III             ,*
 187,   Rho Tuc,  4089,     ,         ,00 42 28.4,-65 28 05, 5.39, 0.50,  F6V               ,*
 188, 16Bet Cet,  4128,     ,  272    ,00 43 35.4,-17 59 12, 2.04, 1.02,  G9.5IIICH-1       ,*
 189,          ,  4142,     ,         ,00 44 26.4,+47 51 51, 5.67,-0.12,  B5V               ,*
 190,          ,  4145,     ,         ,00 43 50.2,-12 00 42, 6.02, 1.10,  K2III-IV          ,
 191,   Eta Phe,  4150,     ,         ,00 43 21.2,-57 27 47, 4.36, 0.00,  A0IV              ,
 192, 21    Cas,  4161,  624,YZ Cas   ,00 45 39.0,+74 59 17, 5.66, 0.05,  A2IV              ,*
 193, 22Omi Cas,  4180,  622,Omi Cas  ,00 44 43.5,+48 17 04, 4.54,-0.07,  B5IIIe            ,*
 194, 17Phi1Cet,  4188,     ,  278    ,00 44 11.4,-10 36 34, 4.76, 1.01,  K0III             ,*
 195,   Lam2Scl,  4211,     ,         ,00 44 12.1,-38 25 18, 5.90, 1.16,  K1III             ,
 196,          ,  4222,  625,         ,00 45 17.2,+55 13 18, 5.42, 0.04,  A2V s             ,*
 197,          ,  4247,     ,         ,00 44 44.4,-22 00 22, 5.24, 0.33,  F1III-IV          ,
 198,          ,  4293,     ,         ,00 44 57.1,-42 40 36, 5.94, 0.28,  F0V               ,
 199,          ,  4294,     ,         ,00 44 32.3,-62 29 52, 6.07, 0.44,  F5III-IV          ,*
 200,          ,  4295,     ,         ,00 46 39.0,+69 19 30, 6.33,     ,  F3V               ,
 201,          ,  4301,     ,         ,00 45 24.1,-04 37 45, 6.15, 1.62,  M0III             ,
 202,          ,  4304,     ,         ,00 45 00.0,-53 42 54, 6.15, 0.53,  F7III             ,
 203, 18    Cet,  4307,     ,         ,00 45 28.7,-12 52 51, 6.15, 0.61,  G0V               ,*
 204,          ,  4321,     ,         ,00 46 15.1,+55 18 19, 6.52,     ,  A2III             ,
 205,          ,  4335,     ,         ,00 46 10.9,+44 51 41, 6.05,-0.07,  B9.5IIIpHgMnCr    ,*
 206,          ,  4338,  636,         ,00 45 41.7,-16 25 27, 6.47, 0.31,  F1IVn             ,
 207,          ,  4362,     ,         ,00 46 42.4,+59 34 28, 6.39, 1.09,  G0Ib              ,
 208, 23    Cas,  4382,     ,         ,00 47 46.1,+74 50 51, 5.41,-0.08,  B8III             ,*
 209,          ,  4391,     ,         ,00 45 45.6,-47 33 06, 5.80, 0.64,  G1V               ,
 210,          ,  4398,     ,         ,00 46 11.8,-22 31 19, 5.50, 0.98,  G3V               ,*
 211, 57    Psc,  4408,     ,  293    ,00 46 33.0,+15 28 32, 5.38, 1.65,  M4IIIa            ,*
 212,          ,  4440,     ,         ,00 48 09.1,+72 40 30, 5.87, 1.01,  K0IV              ,
 213, 58    Psc,  4482,     ,         ,00 47 01.5,+11 58 26, 5.50, 0.97,  G8II              ,
 214, 59    Psc,  4490,     ,XX Psc   ,00 47 13.6,+19 34 44, 6.13, 0.27,  F0Vn              ,*
 215, 34Zet And,  4502,     ,Zet And  ,00 47 20.3,+24 16 02, 4.06, 1.12,  K1IIe             ,*
 216, 60    Psc,  4526,     ,         ,00 47 23.6,+06 44 27, 5.99, 0.94,  G8III             ,
 217, 61    Psc,  4568,     ,         ,00 47 54.8,+20 55 31, 6.54, 0.50,  F8V               ,*
 218,          ,  4585,     ,         ,00 47 43.3,-18 03 41, 5.70, 1.30,  K3III             ,
 219, 24Eta Cas,  4614,  671,         ,00 49 06.0,+57 48 57, 3.44, 0.57,  F9V+dM0           ,*
 220,          ,  4622,     ,         ,00 48 01.1,-21 43 21, 5.57,-0.06,  B9V               ,
 221, 62    Psc,  4627,     ,         ,00 48 17.4,+07 18 00, 5.93, 1.10,  G8III             ,
 222,          ,  4628,     ,         ,00 48 23.0,+05 16 50, 5.75, 0.88,  K2V               ,
 223, 25Nu  Cas,  4636,     ,  302    ,00 48 50.1,+50 58 06, 4.89,-0.11,  B9III             ,
 224, 63Del Psc,  4656,     ,         ,00 48 41.0,+07 35 06, 4.43, 1.50,  K4IIIb            ,*
 225, 64    Psc,  4676,     ,         ,00 48 58.7,+16 56 26, 5.07, 0.51,  F8V               ,*
 226, 35Nu  And,  4727,     ,         ,00 49 48.8,+41 04 44, 4.53,-0.15,  B5V+F8V           ,*
 227,          ,  4730,  680,         ,00 49 25.6,-13 33 41, 5.59, 1.30,  K5III             ,*
 228,          ,  4732,  679,         ,00 49 13.9,-24 08 11, 5.90, 0.95,  K2III             ,
 229,          ,  4737,     ,         ,00 48 56.7,-46 41 52, 6.27, 0.90,  G8III             ,
 230, 65    Psc,  4757,  683,         ,00 49 52.8,+27 42 39, 7.00, 0.36,  F4III             ,*
 231, 65    Psc,  4758,  683,         ,00 49 53.2,+27 42 37, 7.10,     ,  F5III             ,*
 232,          ,  4772,     ,         ,00 49 33.4,-23 21 42, 6.28, 0.13,  A3V               ,
 233,          ,  4775,     ,  317    ,00 50 43.6,+64 14 51, 5.39, 0.49,  G0III-IV+B9.5V    ,*
 234,          ,  4778,     ,GO And   ,00 50 18.3,+45 00 08, 6.15, 0.01,  A0pCr             ,*
 235, 19Phi2Cet,  4813,     ,  316    ,00 50 07.6,-10 38 40, 5.19, 0.50,  F7IV-V            ,*
 236,   Lam Hyi,  4815,     ,         ,00 48 35.4,-74 55 24, 5.07, 1.37,  K5III             ,
 237,          ,  4817,     ,  319    ,00 51 16.4,+61 48 21, 6.07, 1.88,  K2Ib-IICN-2       ,*
 238,          ,  4818,     ,V526 Cas ,00 50 57.4,+51 30 29, 6.39, 0.28,  F2IV              ,*
 239,          ,  4849,     ,AZ Phe   ,00 50 03.7,-43 23 41, 6.48, 0.29,  A9-F0III          ,*
 240,          ,  4853,     ,         ,00 54 53.1,+83 42 26, 5.62, 0.09,  A4V               ,
 241,          ,  4881,     ,         ,00 51 33.7,+51 34 16, 6.21,     ,  B9.5V             ,
 242,   Rho Phe,  4919,     ,Rho Phe  ,00 50 41.2,-50 59 13, 5.22, 0.36,  F2III             ,*
 243,          ,  4928,     ,         ,00 51 18.3,+03 23 06, 6.37, 1.07,  K0III             ,*
 244,          ,  5015,  721,         ,00 53 04.1,+61 07 27, 4.82, 0.53,  F8V               ,*
 245,          ,  5042,     ,         ,00 51 52.1,-43 42 33, 6.90, 0.35,  F2V+F5V           ,*
 246,          ,  5066,     ,         ,00 52 53.4,+38 32 55, 6.69, 0.02,  A2V               ,
 247,          ,  5098,  726,         ,00 52 40.6,-24 00 21, 5.46, 1.24,  K2III             ,*
 248, 20    Cet,  5112,     ,         ,00 53 00.5,-01 08 39, 4.77, 1.57,  M0III             ,
 249,          ,  5118,     ,         ,00 53 28.2,+37 25 05, 6.06, 1.14, gK3                ,
 250,          ,  5128,  735,         ,00 53 47.6,+52 41 21, 6.27, 0.19,  A5m               ,*
 251,          ,  5156,  733,         ,00 53 12.4,-24 46 37, 6.46, 0.44,  F6IV-V            ,*
 252,   Lam1Tuc,  5190,     ,  334    ,00 52 24.3,-69 30 16, 6.22, 0.56,  F7IV-V            ,
 253, 26Ups1Cas,  5234,  748,         ,00 55 00.1,+58 58 22, 4.83, 1.21,  K2III             ,*
 254, 66    Psc,  5267,  746,         ,00 54 35.2,+19 11 18, 5.74,-0.01,  A1VN              ,*
 255, 21    Cet,  5268,     ,         ,00 54 17.6,-08 44 27, 6.16, 0.92,  G5IV              ,
 256,          ,  5273,     ,         ,00 55 05.2,+48 40 43, 6.27, 1.68,  M2.5IIIa          ,
 257,          ,  5276,     ,BQ Tuc   ,00 53 37.9,-62 52 17, 5.70, 1.56,  M4III             ,*
 258, 36    And,  5286,  755,  343    ,00 54 58.0,+23 37 42, 5.47, 1.00,  K1IV              ,*
 259,          ,  5316,     ,  346    ,00 55 14.7,+24 33 25, 6.20, 1.62,  M4IIIab           ,
 260,          ,  5343,     ,         ,00 56 12.9,+57 59 48, 6.21, 1.37,  K3III             ,
 261,          ,  5357,     ,         ,00 56 55.6,+68 46 34, 6.37, 0.38,  F4III             ,
